# www.neaspec.com
# Scan:	 	Fourier Scan
# Project:	 	Interferogram Tests
# Description:	 	Gold_SiO2_IFGshift_center650_ref
# Date:	 	03/17/2023 16:59:48
# Scanner Center Position (X, Y):	[µm]	50.00	50.00	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.000
# Pixel Area (X, Y, Z):	[px]	1	1	2048
# Interferometer Center/Distance:	[µm]	400.000	800.000	 
# Averaging:	 	8	 	 
# Integration time:	[ms]	13	 	 
# Wavenumber Scaling:	 	1.003656	 	 
# Laser Source:	 	
# Detector:	 	R
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	246,794.641	 	 
# Tip Amplitude:	[mV]	54.700	 	 
# Tapping Amplitude:	[nm]	100.168	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	80.00	 	 
# Regulator (P, I, D):	 	2.507512	3.395358	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	1.520	 	 
# M1A Cantilever Factor:	 	0.000	 	 
# Q-Factor:	 	779.5	 	 
# Version:	 	1.10.9992.1
Row	Column	Omega	Wavenumber	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	0	0	19.896286	3.1415927	3.7416773	-3.141592	1.0797622	-1.1911188E-09	0.8044703	3.4135176E-08	0.38370413	-3.1415925	0.0022671213	3.1415927	
0	0	1	1.5682125109375	14.171828	2.239995	7.81653	1.2004517	2.5639942	-2.0540633	1.4980928	-1.924997	0.89854825	1.0510715	0.0024960067	2.1858046	
0	0	2	3.136425021875	1.2634301	-1.2315493	12.497546	0.13436925	4.245679	3.1283069	2.3590455	-3.0715048	1.4831562	-0.098127656	0.0030197261	1.3074136	
0	0	3	4.704637532812501	20.761618	-2.5952108	14.389666	-0.781586	5.069847	2.149562	2.7631087	2.2152631	1.7677448	-1.1317785	0.0034703724	0.48746574	
0	0	4	6.27285004375	38.120483	2.788877	12.893379	-1.6355263	4.8632812	1.1948928	2.6016345	1.2545836	1.6966175	-2.157313	0.0034485075	-0.30688506	
0	0	5	7.8410625546874995	47.188244	1.8927608	8.5640745	-2.400652	3.7818336	0.23077317	1.9685384	0.29145277	1.3361455	3.055495	0.0026688876	-1.0836855	
0	0	6	9.409275065625001	44.63639	0.9804524	3.2784073	-2.669803	2.2166808	-0.7946638	1.0912287	-0.7259638	0.849363	1.8391834	0.001093139	-1.7672458	
0	0	7	10.9774875765625	31.06779	0.006078939	4.8892417	-1.8458979	0.7326282	-2.2358775	0.28611308	-2.243117	0.49522692	0.20807458	0.0011003109	0.16985705	
0	0	8	12.5457000875	12.319052	-1.3847146	9.300297	-2.4304361	0.82095873	1.2844417	0.4493506	1.120527	0.48797938	-1.6187887	0.003315794	-0.5176704	
0	0	9	14.113912598437501	16.108742	2.2704005	11.650815	3.0593634	1.3312862	0.01015738	0.67952865	-0.08263142	0.5221895	-3.0200963	0.0050484384	-1.3286855	
0	0	10	15.682125109374999	30.754364	1.1061233	11.505319	2.2196867	1.2559652	-1.1211807	0.5893402	-1.282419	0.39439514	1.9335492	0.00582115	-2.1780884	
0	0	11	17.2503376203125	35.62457	0.18065357	9.291701	1.3605876	0.8071901	-2.5052984	0.40588123	-2.9503117	0.23224643	-0.040300034	0.0054553356	-3.0765612	
0	0	12	18.818550131250003	28.330786	-0.6836634	5.8993134	0.48581627	0.730584	1.7136955	0.565768	1.4706576	0.43763357	-2.0935078	0.0041864123	2.2039866	
0	0	13	20.3867626421875	11.004532	-1.4648206	2.330959	-0.43504053	1.245501	0.22019248	0.8576519	0.2318375	0.73845714	2.9532957	0.0027714865	0.9346755	
0	0	14	21.954975153125	11.4883585	0.6057695	0.67142195	2.2798715	1.6360669	-0.8644878	1.0068291	-0.77873844	0.9292711	1.8977188	0.0024185122	-0.6438975	
0	0	15	23.5231876640625	32.454075	-0.15295807	2.5521448	1.1757988	1.7058798	-1.8338519	0.9682209	-1.6991118	0.95806396	0.9061819	0.0028486138	-1.892407	
0	0	16	25.091400175	46.622566	-0.96802783	3.3914933	0.3160083	1.4946607	-2.7459826	0.80086994	-2.5517714	0.83393663	-0.036582675	0.0027867875	-2.755734	
0	0	17	26.6596126859375	50.795742	-1.7978363	3.4303892	-0.4983596	1.1416527	2.6771054	0.60847336	2.9510913	0.608338	-0.9022969	0.0021531293	3.0613093	
0	0	18	28.227825196875003	44.83502	-2.6644912	3.0319622	-1.2725923	0.8013323	1.8740989	0.47872588	2.203478	0.36356688	-1.5733875	0.0022257206	3.0716224	
0	0	19	29.796037707812502	31.801397	2.6212814	2.4716601	-2.0152297	0.5668419	1.0833263	0.4305263	1.347066	0.2243611	-1.7573928	0.0034262463	2.727182	
0	0	20	31.364250218749998	20.774292	1.1553231	1.8248239	-2.7416835	0.4299429	0.14912938	0.4333578	0.29955274	0.24961753	-1.9267596	0.0043063294	2.042811	
0	0	21	32.9324627296875	28.660166	-0.5020396	1.0092337	2.887199	0.34498566	-1.1058114	0.45145786	-0.8731848	0.2652124	-2.4746985	0.004029191	1.2055506	
0	0	22	34.500675240625	46.348103	-1.5749884	0.39796218	-2.4843857	0.33834592	-2.7551742	0.4425972	-2.131774	0.2105598	-2.932156	0.0024651205	0.13020746	
0	0	23	36.0688877515625	61.76346	-2.4364593	1.7271336	-2.5416133	0.50746506	1.8455698	0.40152252	2.7063487	0.21263486	-2.87648	0.0016443222	-2.2490678	
0	0	24	37.637100262500006	70.080345	3.0471976	3.3996444	2.9260874	0.8549597	0.45305467	0.443202	1.0178483	0.39133576	3.0543852	0.0045438176	2.49717	
0	0	25	39.2053127734375	68.665	2.2723525	5.010062	2.0268764	1.2995218	-0.7518287	0.66107994	-0.49065584	0.6087922	2.273053	0.0075813597	1.5216801	
0	0	26	40.773525284375	57.021004	1.5244628	6.2090926	1.0929929	1.7269896	-1.8662751	0.93555236	-1.7266532	0.77152026	1.3504541	0.009606785	0.62805307	
0	0	27	42.341737795312504	37.610016	0.8617329	6.6970873	0.1320372	2.0097187	-2.9392116	1.128519	-2.8426375	0.831912	0.35825914	0.010131402	-0.23936959	
0	0	28	43.90995030625	18.306492	0.6331197	6.3268504	-0.8625149	2.044292	2.28207	1.1546117	2.3615308	0.77518773	-0.6927698	0.009132591	-1.0893117	
0	0	29	45.4781628171875	21.120117	1.0289168	5.1729836	-1.9148391	1.789741	1.1996249	0.98984796	1.2653375	0.61888635	-1.8276051	0.007016423	-1.9111314	
0	0	30	47.046375328125	34.030437	0.4999056	3.5618818	-3.097874	1.2949649	0.031153291	0.680104	0.060228765	0.4154294	3.1342854	0.004485066	-2.6569202	
0	0	31	48.614587839062494	39.155857	-0.37547594	2.183095	1.643015	0.75163096	-1.4631739	0.38232636	-1.5924942	0.28540382	1.3530793	0.002417286	3.1307843	
0	0	32	50.18280035	35.697784	-1.473603	2.1572182	-0.26333246	0.7037396	2.7195926	0.4532194	2.5914848	0.3659852	-0.50382257	0.0018004882	3.026085	
0	0	33	51.7510128609375	31.149216	-2.8862052	2.9845023	-1.7639015	1.14925	1.1640629	0.7188614	1.1635318	0.51975226	-1.9145308	0.0021212979	2.5160184	
0	0	34	53.319225371875	36.654648	1.8616487	3.5990667	-3.0332122	1.5314608	-0.05825652	0.90379244	-0.026338981	0.6324759	3.1274369	0.002210337	1.6061534	
0	0	35	54.8874378828125	48.5671	0.5729005	3.8309515	2.016066	1.7142328	-1.2146852	0.9650257	-1.1712588	0.6796405	1.9277704	0.0018712928	0.528673	
0	0	36	56.455650393750005	56.510456	-0.56030095	3.8459537	0.76034933	1.7178894	-2.378371	0.9270671	-2.319912	0.66901493	0.72612524	0.0010591366	-0.7136693	
0	0	37	58.023862904687505	55.695816	-1.6705474	3.8418908	-0.50907886	1.6225221	2.711545	0.8332142	2.8040855	0.62194633	-0.49244323	0.0006497964	2.51822	
0	0	38	59.592075415625004	47.10878	-2.8646457	3.8641367	-1.7537774	1.5056514	1.500397	0.7158912	1.6544945	0.5597045	-1.722576	0.0025457637	0.9964776	
0	0	39	61.1602879265625	37.92326	2.0074968	3.8083313	-2.9522183	1.390383	0.30795547	0.5860638	0.55309945	0.49206248	-2.941204	0.0047224727	-0.02021918	
0	0	40	62.728500437499996	38.797817	0.44651017	3.5636632	2.1678457	1.2471477	-0.83481425	0.44696745	-0.4474808	0.41588587	2.1633718	0.006460579	-0.9474948	
0	0	41	64.2967129484375	47.79165	-0.9067116	3.1085467	1.0091188	1.0417337	-1.9213682	0.3172104	-1.2561305	0.32501307	1.0475792	0.00708136	-1.8172903	
0	0	42	65.864925459375	54.01513	-2.058121	2.5192149	-0.19219416	0.7686222	-2.9622016	0.2480396	-1.7632669	0.22060287	0.022380745	0.006139744	-2.6059594	
