# www.neaspec.com
# Scan:	 	Fourier Scan
# Project:	 	nanoFTIR-QualityControl
# Description:	 	NeaSpec-Slow-Arrowhead-Clean-goldforhBN1
# Date:	 	05/19/2024 20:46:56
# Scanner Center Position (X, Y):	[µm]	49.95	50.12	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.000
# Pixel Area (X, Y, Z):	[px]	1	1	1024
# Interferometer Center/Distance:	[µm]	470.000	490.000	 
# Averaging:	 	16	 	 
# Integration time:	[ms]	20	 	 
# Wavenumber Scaling:	 	1.003656	 	 
# Laser Source:	 	
# Detector:	 	R
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	68,255.586	 	 
# Tip Amplitude:	[mV]	377.103	 	 
# Tapping Amplitude:	[nm]	91.839	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	80.49	 	 
# Regulator (P, I, D):	 	3.536986	5.838004	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	1.520	 	 
# M1A Cantilever Factor:	 	6.161	 	 
# Q-Factor:	 	220.7	 	 
# Version:	 	2.1.11508.0
Row	Column	Omega	Wavenumber	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	0	0	51.390137	3.1415927	0.97174454	-3.1415904	0.7123499	8.742206E-08	0.35196447	-3.1415927	0.0017473698	-4.3608575E-06	0.06260908	-3.1415925	
0	0	1	2.560346956632653	48.12702	2.5617535	3.0605006	1.0414523	1.6920522	-2.0622442	0.72392076	1.1030194	0.25841698	-2.5815609	0.14418584	-3.0240424	
0	0	2	5.120693913265306	40.636066	2.0699484	5.857093	0.010754721	2.9235404	3.0956779	1.2296189	-0.10395443	0.5117762	2.680551	0.26633358	2.4702568	
0	0	3	7.681040869897961	34.982536	1.7212797	8.508016	-0.9539936	3.7830496	2.0778437	1.6123903	-1.1933256	0.7506905	1.6597042	0.3867025	1.5466859	
0	0	4	10.241387826530612	35.210953	1.3726214	10.65533	-1.9400377	4.142117	1.0563133	1.8343287	-2.2862995	0.960129	0.63308895	0.49096557	0.5790075	
0	0	5	12.801734783163266	36.677254	0.8362411	11.964758	-2.9772115	4.0330505	-0.018312322	1.9298284	2.8599217	1.122391	-0.40642062	0.5646895	-0.4235852	
0	0	6	15.362081739795922	33.04452	0.11375987	12.355003	2.1907923	3.6638741	-1.1949146	1.9831973	1.6690377	1.2231742	-1.4677808	0.5982255	-1.4728742	
0	0	7	17.922428696428575	22.488262	-0.81252676	12.256315	0.9709539	3.4087307	-2.4988103	2.0740724	0.4501135	1.2579507	-2.5614257	0.59510356	-2.591546	
0	0	8	20.482775653061225	10.62271	-2.4857345	12.588863	-0.3433993	3.574981	2.4366922	2.2062485	-0.7535588	1.2355926	2.5846496	0.57857406	2.4815533	
0	0	9	23.04312260969388	20.336218	1.6813916	13.96827	-1.6691666	4.0419836	1.1684484	2.303744	-1.9235502	1.1775738	1.3937491	0.58566225	1.1930083	
